Iteration	Posterior	Likelihood	Prior	alpha[1]	alpha[2]	alpha[3]	alpha[4]	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	part_rate[1]	part_rate[2]	part_rate[3]	part_rate[4]	part_rate_mult[1]	part_rate_mult[2]	part_rate_mult[3]	part_rate_mult[4]	pinvar[1]	pinvar[2]	pinvar[3]	pinvar[4]	TL
2250	-42196.97	-42145.35	-51.62003	9.91176e+07	8.15296e+07	9.87712e+06	5.06708e+07	0.0459029	0.0515662	0.0680384	0.243871	0.0413817	0.0384462	0.0363007	0.0556433	0.069016	0.0104431	0.0489938	0.0303784	0.0399759	0.499484	0.454142	0.144567	2.69867	0.0825693	0.126356	0.0402229	0.750852	0.700199	0.74569	0.870543	0.0668451	0.7799577
2300	-42201.13	-42149.65	-51.48441	7.90959e+07	1.17967e+07	1.84815e+07	6.53831e+07	0.0482307	0.0495838	0.0660271	0.226111	0.045907	0.0385421	0.0432119	0.0476908	0.0761233	0.00848314	0.0458629	0.0321311	0.0444895	0.545082	0.469504	0.13036	2.67042	0.0901072	0.13063	0.0362701	0.742992	0.740726	0.734489	0.878607	0.0946029	0.7723942
2350	-42201.57	-42149.71	-51.85336	3.7076e+07	5.8924e+06	2.43983e+07	2.11831e+07	0.0489685	0.0443218	0.0652916	0.237395	0.0501062	0.0362705	0.0400993	0.0490694	0.0703133	0.0114792	0.0448777	0.0325351	0.0462419	0.500366	0.474015	0.134808	2.68803	0.0827151	0.131885	0.0375077	0.747892	0.718291	0.694752	0.858738	0.076374	0.7769693
2400	-42201.91	-42151.96	-49.95457	1.92974e+07	9.53221e+07	7.1017e+07	2.61722e+07	0.0470995	0.0458376	0.0695209	0.232393	0.045022	0.0397058	0.0370457	0.0490259	0.0725207	0.00849452	0.0400808	0.0322521	0.0547243	0.553881	0.458358	0.15722	2.64948	0.0915617	0.127529	0.0437434	0.737166	0.697294	0.766338	0.863177	0.0817022	0.7737231
2450	-42203.53	-42152.14	-51.38978	5.73392e+07	3.9106e+07	9.5129e+07	8.95306e+07	0.0429951	0.0411218	0.0637803	0.254113	0.0503137	0.03907	0.0460047	0.0563321	0.066978	0.00990911	0.0512849	0.0264792	0.0504706	0.565557	0.48929	0.126819	2.64201	0.0934918	0.136135	0.0352848	0.735088	0.700829	0.739079	0.865428	0.0870653	0.7988527
2500	-42205.9	-42155.04	-50.85738	8.25622e+07	3.76676e+07	7.79295e+06	3.93602e+07	0.0410137	0.0430276	0.0610413	0.237165	0.0416668	0.0383157	0.0431667	0.0510109	0.0682794	0.00903339	0.0382205	0.0345303	0.0536496	0.574712	0.428886	0.142573	2.68122	0.0950052	0.119329	0.039668	0.745998	0.722469	0.754774	0.892102	0.0734702	0.7601207
2550	-42194.09	-42142.31	-51.77492	7.91163e+07	4.10654e+07	8.01842e+07	8.25343e+07	0.0460097	0.0449831	0.070173	0.244526	0.0431129	0.0403406	0.0421819	0.0564194	0.068499	0.00915874	0.0390071	0.0314248	0.0569923	0.529913	0.456721	0.135695	2.68688	0.0875996	0.127074	0.0377545	0.747572	0.713825	0.736925	0.883587	0.0792837	0.7928289
2600	-42200.13	-42149.21	-50.91772	8.18578e+06	9.27787e+07	3.07483e+06	5.90668e+07	0.0435262	0.046555	0.0687091	0.239258	0.0433984	0.0376496	0.0392686	0.0500596	0.0780727	0.0058555	0.0478632	0.0352188	0.060082	0.569014	0.424232	0.150396	2.68144	0.0940633	0.118034	0.0418447	0.746058	0.69055	0.758181	0.880459	0.074969	0.7955167
2650	-42196.58	-42145.36	-51.22663	9.72407e+07	2.04379e+07	5.93456e+07	4.91429e+07	0.0430542	0.0454338	0.0735261	0.26867	0.0516871	0.037603	0.0411177	0.0535706	0.0696847	0.0104657	0.0513128	0.0305106	0.0454033	0.577917	0.436906	0.14369	2.67018	0.0955351	0.121561	0.039979	0.742925	0.69202	0.738551	0.870447	0.0768231	0.8220395
2700	-42196.77	-42146.21	-50.55896	2.13386e+07	3.13747e+07	4.18749e+07	2.97558e+07	0.040084	0.0512676	0.0662776	0.239755	0.0435278	0.0366841	0.0478152	0.0488934	0.0653225	0.0105493	0.0479059	0.0285611	0.0521085	0.594853	0.449172	0.140376	2.65117	0.0983348	0.124973	0.0390568	0.737635	0.711584	0.752099	0.889674	0.0758606	0.7787517
2750	-42206.6	-42154.43	-52.17525	7.78657e+07	5.8488e+07	8.4963e+07	6.5049e+07	0.0376233	0.0486476	0.0660536	0.271184	0.0483975	0.0328708	0.0436945	0.0517337	0.0661141	0.0108608	0.055116	0.0330492	0.0413191	0.519894	0.438072	0.138958	2.70822	0.0859432	0.121885	0.0386623	0.75351	0.72452	0.73315	0.852536	0.0661864	0.8066645
2800	-42199.01	-42148.02	-50.99305	4.04563e+07	6.4436e+06	2.87912e+07	7.89837e+06	0.0362928	0.0427039	0.0683861	0.237773	0.0464731	0.0338404	0.044574	0.0519688	0.0636409	0.00963049	0.0526788	0.0350184	0.0438103	0.573724	0.481778	0.127968	2.64352	0.0948419	0.134045	0.0356045	0.735509	0.707147	0.740562	0.881573	0.0753884	0.7667913
2850	-42199.4	-42150.01	-49.38515	9.84443e+07	8.43985e+07	9.47192e+07	1.17503e+07	0.0444755	0.0491647	0.0636712	0.219466	0.0477628	0.037223	0.0394084	0.0489133	0.0730042	0.0101446	0.0490148	0.0401883	0.0455433	0.550364	0.479608	0.161494	2.62605	0.0909803	0.133441	0.0449326	0.730646	0.709265	0.710291	0.84954	0.0798474	0.7679796
2900	-42202.03	-42152.12	-49.9117	9.02166e+07	9.68197e+06	2.10729e+07	8.95652e+07	0.044678	0.0441202	0.0765159	0.225384	0.0504779	0.0325213	0.0371415	0.0528853	0.0725453	0.00524131	0.0524824	0.0302419	0.0489365	0.565409	0.49278	0.145473	2.61996	0.0934673	0.137106	0.040475	0.728951	0.703199	0.742056	0.893275	0.0725816	0.773171
2950	-42189.3	-42138.72	-50.58361	2.12047e+07	2.8556e+07	7.77966e+06	6.60015e+07	0.0410462	0.0439572	0.0629907	0.256403	0.0497186	0.0377529	0.0412346	0.0522066	0.0706764	0.00678278	0.0490104	0.0319181	0.0490575	0.591433	0.469071	0.137734	2.63594	0.0977693	0.13051	0.0383217	0.733399	0.706752	0.737571	0.864448	0.0870188	0.7927547
3000	-42198.68	-42147.13	-51.54443	3.60079e+07	4.2206e+07	7.11403e+07	5.06961e+07	0.0442596	0.0446433	0.0712135	0.248886	0.0453907	0.0373361	0.0455396	0.0535188	0.0718542	0.0077681	0.0381994	0.0312337	0.0507638	0.536311	0.483931	0.130769	2.6608	0.0886573	0.134644	0.036384	0.740314	0.728489	0.734354	0.866131	0.0651339	0.7906064
3050	-42194.12	-42142.35	-51.77211	7.2557e+07	6.92008e+07	8.82059e+07	5.194e+07	0.0492787	0.0513215	0.0690986	0.230762	0.0450565	0.0364749	0.0393426	0.0485771	0.0690706	0.00509491	0.0485153	0.027498	0.0481622	0.553636	0.463288	0.125098	2.67682	0.0915212	0.128901	0.0348061	0.744772	0.698588	0.740836	0.891181	0.0805834	0.7682529
3100	-42203.72	-42153.4	-50.32336	4.46881e+07	2.49735e+07	5.68922e+07	3.06078e+07	0.0463112	0.0402247	0.0607439	0.235166	0.0459389	0.036587	0.0421305	0.0495329	0.0716451	0.00731362	0.0547349	0.0257735	0.0469968	0.549545	0.461824	0.148761	2.65705	0.0908449	0.128493	0.0413897	0.739272	0.723733	0.722789	0.866159	0.0743988	0.7630989
3150	-42208.33	-42156.12	-52.21093	3.65327e+07	2.0777e+07	5.6045e+07	9.86615e+07	0.0485882	0.0530349	0.0608361	0.238009	0.0490739	0.0337274	0.0413528	0.0486757	0.0674721	0.0112549	0.0527799	0.033386	0.0364171	0.496028	0.449752	0.136085	2.71359	0.081998	0.125135	0.0378631	0.755004	0.714431	0.739764	0.848464	0.0695332	0.7746076
3200	-42198.49	-42147	-51.49021	5.49191e+07	3.04034e+06	7.06185e+07	5.25638e+07	0.0440063	0.0438642	0.0707838	0.237734	0.0468088	0.0376567	0.0455281	0.0490121	0.0718455	0.0128388	0.0514473	0.03399	0.0374332	0.529005	0.447672	0.141364	2.6908	0.0874495	0.124556	0.0393317	0.748663	0.715613	0.736738	0.868249	0.0746215	0.7829486
