Iteration	Posterior	Likelihood	Prior	alpha[1]	alpha[2]	alpha[3]	alpha[4]	alpha_morpho	clock_morpho	clock_rates	diversification	extinction_rate	num_samp_anc	origin_time	pinvar[1]	pinvar[2]	pinvar[3]	pinvar[4]	psi	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	speciation_rate	turnover
830	-51625.3	-50987.27	-638.0309	0.123057	0.116753	0.204647	2.70794	2.057694	0.02173641	0.01419142	-0.001114246	0.3110938	1	60.48443	0.291037	0.313718	0.835549	0.053	0.03095177	0.300066	0.661012	1.07137	1.96755	0.3099795	1.003595
840	-51624.71	-50986.29	-638.4255	0.132155	0.124295	0.181717	2.37671	1.937182	0.02021616	0.01491243	0.01399489	0.3363897	1	62.79954	0.346503	0.373	0.84607	0.053	0.02276032	0.285659	0.648163	1.06834	1.99784	0.3503846	0.9600585
850	-51636.08	-50994.43	-641.643	0.132309	0.136132	0.189904	2.57941	1.968205	0.02312444	0.01407746	-0.000777208	0.3249204	0	60.56842	0.338785	0.408293	0.810429	0.0255512	0.02529212	0.28945	0.651589	1.06917	1.98979	0.3241432	1.002398
860	-51609.72	-50975.44	-634.2837	0.134434	0.117165	0.204403	2.97834	2.151801	0.02344688	0.01434263	-0.001787624	0.3620604	1	59.86433	0.31994	0.366828	0.81869	0.0392669	0.02425054	0.310746	0.670242	1.07336	1.94565	0.3602728	1.004962
870	-51625.54	-50992.05	-633.49	0.147682	0.116101	0.228741	3.21313	2.103191	0.02243915	0.01456737	-0.0005101614	0.4091609	1	61.84011	0.337673	0.340592	0.834371	0.0693588	0.02405537	0.305289	0.665557	1.07237	1.95678	0.4086507	1.001248
880	-51623.58	-50989	-634.5782	0.136936	0.132108	0.212729	2.97959	2.065484	0.02119867	0.01460332	0.01073028	0.3341702	2	64.15026	0.330995	0.387907	0.843658	0.0367223	0.01690145	0.300968	0.661801	1.07155	1.96569	0.3449004	0.9688888
890	-51604.36	-50971.58	-632.7766	0.123715	0.127027	0.224851	2.35123	2.080572	0.02208658	0.01455214	0.02018442	0.3154942	1	63.14026	0.330995	0.342842	0.83164	0.0517127	0.02696419	0.302707	0.663317	1.07188	1.9621	0.3356787	0.9398698
900	-51611.03	-50976.26	-634.7702	0.130644	0.117928	0.202604	2.47417	1.873793	0.02146335	0.01406028	0.0005010055	0.3406924	1	56.82203	0.316838	0.317208	0.848985	0.042274	0.02143405	0.277729	0.640885	1.06648	2.0149	0.3411934	0.9985316
910	-51611.87	-50970.82	-641.0519	0.138063	0.119493	0.188314	2.69311	2.053314	0.02143925	0.01493267	-0.03497859	0.31166	0	62.27564	0.295779	0.353603	0.83845	0.0560203	0.02763881	0.299557	0.660566	1.07127	1.96861	0.2766814	1.126422
920	-51605.2	-50966.09	-639.1041	0.12896	0.126535	0.204908	3.09142	1.975626	0.02077046	0.01463276	0.008631276	0.3026364	1	59.57847	0.295342	0.326327	0.848228	0.0565842	0.02314094	0.290348	0.652397	1.06937	1.98789	0.3112677	0.9722706
930	-51606.07	-50968.58	-637.4867	0.138911	0.121539	0.187476	3.00237	1.912128	0.02267705	0.01367544	0.0001560197	0.2454079	1	63.19885	0.321746	0.336231	0.813305	0.0381064	0.03054196	0.282555	0.645332	1.06763	2.00449	0.2455639	0.9993646
940	-51614.78	-50978.22	-636.5583	0.123925	0.113101	0.212473	2.46742	2.264196	0.02208535	0.0146538	0.04122847	0.2590844	1	60.63259	0.294587	0.314433	0.839132	0.0607102	0.0262345	0.322896	0.680457	1.07539	1.92126	0.3003129	0.8627149
950	-51615.15	-50980.48	-634.6662	0.123968	0.129342	0.185895	3.16207	1.755215	0.02152297	0.01468485	-0.005325001	0.3347723	1	56.07362	0.334608	0.415631	0.83551	0.0583716	0.02073545	0.262195	0.626174	1.06246	2.04917	0.3294473	1.016163
