Iteration	Posterior	Likelihood	Prior	alpha_morpho	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	TL
1750	-7520.88	-7431.993	-88.88691	1.83658	0.272955	0.636429	1.06531	2.02531	14.26729
1760	-7517.926	-7425.936	-91.98936	2.248469	0.321234	0.679077	1.07512	1.92457	14.53635
1770	-7545.42	-7450.007	-95.41234	2.122138	0.307431	0.667403	1.07277	1.9524	14.89128
1780	-7533.323	-7439.585	-93.73742	2.19278	0.31525	0.674064	1.07414	1.93655	14.71672
1790	-7521.459	-7436.589	-84.87028	2.169488	0.3127	0.671906	1.0737	1.94169	13.83234
1800	-7527.863	-7438.854	-89.00835	1.964962	0.289056	0.651235	1.06909	1.99062	14.2666
1810	-7524.512	-7428.477	-96.03412	2.378152	0.334591	0.690016	1.0771	1.89829	14.92785
1820	-7525.508	-7437.611	-87.89713	2.074168	0.30197	0.662676	1.07174	1.96361	14.14455
1830	-7529.074	-7439.307	-89.76704	2.30208	0.326851	0.683719	1.07599	1.91344	14.30875
1840	-7528.825	-7432.71	-96.11518	1.904454	0.281596	0.644453	1.0674	2.00655	14.98333
1850	-7544.05	-7447.054	-96.99586	2.633742	0.358781	0.708996	1.08	1.85223	14.99847
1860	-7533.475	-7439.985	-93.48952	2.212938	0.317434	0.675902	1.07451	1.93216	14.68992
1870	-7534.092	-7448.918	-85.17421	2.097217	0.30461	0.664969	1.07224	1.95818	13.86996
1880	-7539.213	-7450.101	-89.1121	1.626081	0.244159	0.608281	1.05704	2.09052	14.31086
1890	-7532.089	-7433.024	-99.06547	2.600411	0.355774	0.706692	1.07968	1.85785	15.20876
1900	-7537.47	-7448.505	-88.96436	1.946718	0.28683	0.649225	1.0686	1.99535	14.26402
1910	-7519.598	-7434.535	-85.06351	2.05703	0.299989	0.660944	1.07135	1.96771	13.86291
1920	-7532.014	-7444.107	-87.90711	1.483254	0.222724	0.585745	1.04942	2.14211	14.20464
1930	-7532.279	-7433.412	-98.86691	1.954753	0.287813	0.650114	1.06882	1.99326	15.25347
1940	-7536.515	-7436.373	-100.1427	2.389235	0.335697	0.690907	1.07725	1.89614	15.3376
1950	-7523.194	-7429.502	-93.69147	1.988093	0.291849	0.653742	1.06969	1.98472	14.7326
1960	-7538.09	-7442.279	-95.81081	2.339294	0.330671	0.686841	1.07655	1.90594	14.90941
1970	-7536.044	-7450.665	-85.37813	2.270459	0.323555	0.681002	1.07549	1.91996	13.87303
1980	-7513.939	-7434.049	-79.88945	1.821952	0.271053	0.634638	1.06482	2.02949	13.36901
1990	-7535.338	-7434.478	-100.8598	2.266346	0.323122	0.680644	1.07542	1.92081	15.42161
2000	-7529.35	-7431.321	-98.0294	1.9382	0.285784	0.648277	1.06836	1.99758	15.17138
2010	-7533.925	-7447.567	-86.35822	2.1333	0.308684	0.668479	1.07299	1.94984	13.98475
2020	-7544.338	-7450.678	-93.66017	2.045869	0.298689	0.659804	1.0711	1.97041	14.72369
2030	-7531.579	-7440.068	-91.51097	1.765494	0.263579	0.62751	1.06284	2.04607	14.53681
