Starting job 16490015 on c5-60 on Saga at Wed Dec 24 11:43:09 CET 2025


RevBayes version (1.1.1)
Build from  () on Fri May  5 01:48:14 PM CEST 2023

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


> source("scripts/mcmc_CEFBDRP_Ranges_rhinos.Rev")
   Processing file "scripts/mcmc_CEFBDRP_Ranges_rhinos.Rev"
   Successfully read one character matrix from file 'data/rrna.nex'
   Successfully read one character matrix from file 'data/coding_1.nex'
   Successfully read one character matrix from file 'data/coding_2.nex'
   Successfully read one character matrix from file 'data/coding_3.nex'
   Successfully read one character matrix from file 'data/character_matrix_RB_rhinos.nex'
   Processing file "scripts/model_FBDRP_rhinos.Rev"
   Processing of file "scripts/model_FBDRP_rhinos.Rev" completed
   Processing file "scripts/model_UCLN_rhinos.Rev"
   Processing of file "scripts/model_UCLN_rhinos.Rev" completed
   Processing file "scripts/model_GTRG_rhinos.Rev"
   Processing of file "scripts/model_GTRG_rhinos.Rev" completed
   Processing file "scripts/model_Morph_rhinos.Rev"
   NOTE: setNumStatesPartition() partitions by the maximum observed state, not the total number of observed states.
   NOTE: setNumStatesPartition() partitions by the maximum observed state, not the total number of observed states.
   NOTE: setNumStatesPartition() partitions by the maximum observed state, not the total number of observed states.
   Processing of file "scripts/model_Morph_rhinos.Rev" completed

   Running MCMC simulation
   This simulation runs 1 independent replicate.
   The simulator uses 422 different moves in a random move schedule with 527 moves per iteration

Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
8050        |       -56695.9   |       -56492.6   |       -203.233   |   03:45:24   |   369:34:36   |
8100        |       -56739.7   |       -56490.2   |       -249.483   |   03:46:56   |   369:46:14   |
8150        |       -56741.2   |       -56471.7   |       -269.524   |   03:48:27   |   369:56:05   |
8200        |       -56694.5   |       -56478.8   |       -215.687   |   03:49:55   |   370:00:58   |
8250        |       -56716.2   |       -56476.1   |       -240.129   |   03:51:26   |   370:10:35   |
8300        |       -56741.3   |       -56469.3   |       -271.993   |   03:52:58   |   370:21:39   |
8350        |       -56744.3   |       -56477.5   |       -266.769   |   03:54:29   |   370:30:59   |
8400        |       -56754.3   |       -56471.2   |       -283.108   |   03:55:58   |   370:37:02   |
8450        |       -56754.6   |         -56481   |       -273.571   |   03:57:25   |   370:39:54   |
8500        |       -56703.9   |       -56468.5   |       -235.411   |   03:58:56   |   370:48:54   |
8550        |       -56749.9   |         -56469   |       -280.884   |   04:00:28   |   370:59:20   |
8600        |       -56754.3   |       -56481.7   |       -272.598   |   04:01:57   |   371:05:01   |
8650        |       -56745.5   |       -56474.3   |        -271.22   |   04:03:27   |   371:12:09   |
8700        |       -56762.1   |       -56499.6   |       -262.475   |   04:04:54   |   371:14:38   |
8750        |       -56767.7   |       -56498.1   |       -269.647   |   04:06:21   |   371:17:04   |
8800        |       -56771.7   |       -56492.6   |       -279.097   |   04:07:56   |   371:31:27   |
8850        |       -56716.2   |         -56483   |       -233.205   |   04:09:29   |   371:42:40   |
8900        |       -56703.9   |       -56488.5   |       -215.458   |   04:11:06   |   371:59:41   |
8950        |       -56718.5   |       -56494.2   |       -224.359   |   04:12:41   |   372:13:32   |


Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
----------------------------------------------------------------------------------------------------
9000        |         -56710   |         -56494   |       -216.017   |   04:14:16   |   372:27:12   |
9050        |       -56728.8   |       -56491.2   |       -237.588   |   04:15:50   |   372:39:16   |
9100        |       -56740.6   |       -56496.1   |       -244.533   |   04:17:21   |   372:46:49   |
9150        |       -56770.4   |       -56496.3   |       -274.107   |   04:18:54   |   372:57:09   |
9200        |       -56722.8   |       -56504.6   |       -218.177   |   04:20:27   |   373:07:22   |
9250        |       -56736.4   |       -56477.9   |       -258.539   |   04:22:00   |   373:17:27   |
9300        |       -56724.2   |       -56486.7   |       -237.503   |   04:23:30   |   373:23:10   |
9350        |       -56720.9   |         -56483   |       -237.899   |   04:25:04   |   373:34:26   |
9400        |       -56711.8   |       -56499.6   |       -212.162   |   04:26:34   |   373:39:57   |
9450        |       -56738.3   |       -56472.9   |       -265.384   |   04:28:07   |   373:49:35   |
9500        |       -56768.1   |       -56478.7   |       -289.408   |   04:29:38   |   373:56:19   |
9550        |       -56705.9   |       -56480.2   |       -225.735   |   04:31:12   |   374:07:07   |
9600        |         -56723   |       -56503.5   |       -219.522   |   04:32:53   |   374:27:23   |
9650        |       -56742.8   |       -56516.4   |       -226.362   |   04:34:26   |   374:36:30   |
9700        |         -56699   |       -56498.1   |       -200.946   |   04:35:53   |   374:37:22   |
9750        |       -56714.8   |       -56490.1   |       -224.668   |   04:37:25   |   374:44:58   |
9800        |       -56737.6   |       -56474.8   |       -262.803   |   04:39:02   |   374:59:11   |
9850        |       -56725.6   |       -56484.6   |       -241.001   |   04:40:34   |   375:06:34   |
9900        |       -56704.6   |       -56473.5   |       -231.052   |   04:42:03   |   375:09:52   |
9950        |       -56684.7   |       -56483.2   |       -201.442   |   04:43:33   |   375:14:26   |


Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
----------------------------------------------------------------------------------------------------
10000       |       -56694.3   |       -56497.6   |       -196.748   |   04:45:10   |   375:28:10   |
10050       |       -56714.8   |       -56487.4   |       -227.335   |   04:46:43   |   375:36:30   |
10100       |       -56743.3   |       -56494.7   |       -248.645   |   04:48:12   |   375:39:31   |
10150       |       -56728.7   |       -56499.6   |       -229.108   |   04:49:43   |   375:45:05   |
10200       |       -56712.9   |       -56477.7   |       -235.231   |   04:51:17   |   375:54:28   |
10250       |       -56719.5   |         -56472   |       -247.556   |   04:52:47   |   375:58:35   |
10300       |       -56739.5   |       -56480.2   |       -259.308   |   04:54:20   |   376:06:30   |
10350       |       -56747.1   |       -56489.5   |       -257.612   |   04:55:51   |   376:11:46   |
10400       |       -56760.1   |       -56489.7   |       -270.433   |   04:57:24   |   376:19:31   |
10450       |       -56738.2   |       -56499.5   |       -238.614   |   04:58:57   |   376:27:10   |
10500       |       -56747.9   |       -56485.8   |        -262.05   |   05:00:27   |   376:30:58   |
10550       |       -56744.9   |       -56479.5   |       -265.366   |   05:01:58   |   376:35:58   |
10600       |       -56763.3   |         -56474   |       -289.379   |   05:03:26   |   376:37:11   |
