Iteration	Posterior	Likelihood	Prior	alpha[1]	alpha[2]	alpha[3]	alpha[4]	alpha_morpho	clock_morpho	clock_rates	diversification	extinction_rate	num_samp_anc	origin_time	pinvar[1]	pinvar[2]	pinvar[3]	pinvar[4]	psi	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	speciation_rate	turnover
3050	-57068.43	-56449.76	-618.6718	0.120116	0.136972	0.0853317	2.64751	1.717987	0.02352594	0.01675008	-0.002290263	0.3430441	0	57.04544	0.257841	0.364331	0.748117	0.0587135	0.0294474	0.257119	0.621231	1.06102	2.06063	0.3407538	1.006721
3100	-57084.93	-56465.67	-619.2562	0.130105	0.126188	0.0844403	2.772	1.796628	0.02586036	0.01706751	-0.02996136	0.361412	0	55.07322	0.296651	0.296521	0.722464	0.0474084	0.03547046	0.267727	0.631485	1.06396	2.03683	0.3314506	1.090395
3150	-57090.02	-56474.55	-615.4693	0.121023	0.148571	0.0883511	3.0471	1.657525	0.02639035	0.01719435	-0.02306572	0.3896426	1	59.57102	0.357177	0.390904	0.745635	0.0448262	0.02387065	0.248663	0.612836	1.05847	2.08003	0.3665769	1.062922
3200	-57078.18	-56464.57	-613.6098	0.119018	0.127786	0.0800283	2.67824	1.814086	0.02683166	0.0174797	-0.006561752	0.3075003	0	61.77942	0.278228	0.33265	0.7597	0.0364968	0.03711721	0.270025	0.633666	1.06456	2.03175	0.3009385	1.021804
3250	-57081.3	-56468.19	-613.1149	0.125763	0.143225	0.0882348	3.08697	1.669528	0.02606307	0.01619382	-0.002207867	0.2794655	0	55.48563	0.313101	0.34538	0.757097	0.039863	0.04312558	0.250363	0.61454	1.059	2.0761	0.2772577	1.007963
3300	-57082.65	-56462.63	-620.0195	0.121636	0.124113	0.0842856	2.30922	1.647732	0.02598832	0.01745172	0.0109328	0.277709	0	64.90446	0.290141	0.355561	0.735196	0.0468209	0.04670546	0.247268	0.611432	1.05804	2.08326	0.2886418	0.9621233
3350	-57091.39	-56470.54	-620.8484	0.120828	0.119317	0.0903699	3.26293	1.965482	0.02467315	0.01630997	0.001434992	0.3535234	0	63.15245	0.325907	0.365575	0.739674	0.0496592	0.02395978	0.289119	0.651292	1.0691	1.99049	0.3549584	0.9959573
3400	-57078.02	-56457.75	-620.2665	0.127788	0.127642	0.0878396	2.77617	2.013942	0.02347892	0.01612901	0.001852381	0.3439995	1	55.11631	0.28441	0.347531	0.744529	0.0514261	0.02858226	0.294933	0.656488	1.07033	1.97824	0.3458519	0.994644
3450	-57081.95	-56461.05	-620.9041	0.125014	0.118488	0.0924363	2.54338	2.115399	0.02345736	0.01626003	0.005688476	0.2671341	2	62.3282	0.284384	0.334791	0.745091	0.0424388	0.03068829	0.306671	0.66675	1.07263	1.95395	0.2728226	0.9791495
3500	-57091.15	-56469.35	-621.7989	0.12865	0.133248	0.0863424	3.44196	2.105678	0.02647873	0.01614859	-0.02038607	0.4257626	1	56.81991	0.27583	0.336132	0.729817	0.0502062	0.01607531	0.305571	0.6658	1.07242	1.95621	0.4053766	1.050289
3550	-57090.82	-56464.4	-626.415	0.128353	0.151133	0.0944491	3.7112	2.038116	0.02427881	0.01509528	-0.007877902	0.4053671	1	62.02779	0.281655	0.400591	0.743023	0.0554007	0.01980414	0.297783	0.659007	1.07091	1.9723	0.3974892	1.019819
3600	-57091.11	-56469.58	-621.531	0.117224	0.125145	0.0838562	2.38269	2.236798	0.02559557	0.01645163	0.0002217074	0.2884631	1	57.63876	0.262039	0.353815	0.742233	0.0405923	0.02741401	0.319992	0.678043	1.07492	1.92704	0.2886848	0.999232
3650	-57095.52	-56472.07	-623.4463	0.135676	0.138038	0.0859111	3.20116	2.040217	0.02314665	0.01606344	0.02459729	0.327533	1	59.69293	0.342433	0.3667	0.760658	0.0450773	0.02394912	0.298029	0.659223	1.07096	1.97178	0.3521303	0.9301472
3700	-57098.44	-56471.93	-626.509	0.123682	0.116853	0.0872122	2.83621	2.010043	0.02410087	0.01674838	0.01961986	0.3177135	0	59.62403	0.290683	0.345435	0.759228	0.0657375	0.03148145	0.294471	0.656077	1.07024	1.97921	0.3373333	0.9418384
3750	-57088.85	-56457.45	-631.4038	0.142229	0.122527	0.0890471	2.8107	1.670148	0.02079845	0.0154695	0.006699918	0.3966805	0	55.09255	0.342284	0.317073	0.732755	0.0487062	0.0208936	0.250451	0.614628	1.05903	2.07589	0.4033805	0.9833906
3800	-57086.45	-56459.78	-626.6702	0.11668	0.134017	0.0872062	3.1721	1.93253	0.02301084	0.01560526	0.000471311	0.5321035	1	61.03635	0.284329	0.322967	0.748203	0.0485071	0.02213634	0.285086	0.647642	1.06821	1.99907	0.5325748	0.999115
3850	-57091.88	-56467.56	-624.3166	0.134463	0.120196	0.089972	2.669	1.943312	0.02390841	0.01571223	-0.02071172	0.4015618	1	58.55532	0.249682	0.339486	0.757857	0.0573418	0.0263827	0.286413	0.648847	1.0685	1.99624	0.3808501	1.054383
3900	-57088.04	-56455.91	-632.1215	0.124342	0.131783	0.0886775	3.09112	1.749639	0.02239874	0.0155293	-0.005199842	0.341816	0	61.97553	0.260593	0.392554	0.759895	0.0412163	0.03095952	0.261441	0.625444	1.06225	2.05087	0.3366162	1.015447
3950	-57103.03	-56460.23	-642.805	0.130663	0.123747	0.0919518	3.91473	2.024096	0.02142687	0.01492481	0.01961716	0.2287371	0	61.38619	0.287208	0.346981	0.734933	0.06753	0.03045108	0.296134	0.657552	1.07058	1.97573	0.2483543	0.9210114
4000	-57104.58	-56468.79	-635.7912	0.11941	0.126505	0.0827351	2.14269	1.76281	0.02296411	0.01612878	-0.03064878	0.3827904	0	58.00251	0.225889	0.36023	0.760071	0.0302689	0.02490006	0.263218	0.627163	1.06274	2.04688	0.3521416	1.087035
4050	-57098.78	-56469.3	-629.4803	0.124616	0.126497	0.0856585	2.45168	1.936724	0.02326589	0.01562118	-0.002299987	0.3503268	1	63.74008	0.25291	0.326136	0.727088	0.0248504	0.03123228	0.285603	0.648112	1.06832	1.99796	0.3480268	1.006609
4100	-57102.45	-56473.17	-629.2725	0.116462	0.111585	0.0873017	2.20875	1.880354	0.02211665	0.01631717	0.002891449	0.2744807	2	63.96919	0.293595	0.285429	0.752705	0.0372617	0.03099736	0.278562	0.641656	1.06669	2.0131	0.2773722	0.9895756
4150	-57088.14	-56460.35	-627.7882	0.118772	0.130495	0.0837528	2.44598	1.794577	0.0260505	0.01637312	0.04775097	0.253548	1	63.72416	0.237628	0.32863	0.75307	0.0450953	0.03199	0.267456	0.631226	1.06388	2.03743	0.301299	0.8415163
4200	-57084.36	-56458.02	-626.3308	0.12171	0.130449	0.085886	2.34322	1.823933	0.02558591	0.01552317	0.01062046	0.362774	1	62.51458	0.267722	0.375947	0.746729	0.0430058	0.02184465	0.271312	0.634882	1.06489	2.02892	0.3733944	0.971557
4250	-57092.05	-56462.3	-629.7414	0.134445	0.131986	0.0854035	2.81092	1.656143	0.02302527	0.01586715	0.01392994	0.2630379	1	59.96809	0.319639	0.378411	0.740997	0.0489382	0.02836046	0.248467	0.612639	1.05841	2.08048	0.2769679	0.9497056
4300	-57091.24	-56462.55	-628.6922	0.133735	0.123429	0.0864938	2.65206	1.926717	0.02332733	0.01621781	-0.008607664	0.3453095	1	58.95219	0.323837	0.376705	0.754171	0.0330753	0.02179502	0.284367	0.646988	1.06804	2.0006	0.3367019	1.025565
4350	-57085.61	-56466.29	-619.3254	0.12069	0.123258	0.0828295	2.82325	2.016655	0.0240116	0.01688859	0.007415985	0.3559081	2	55.52765	0.315937	0.355161	0.739432	0.0511914	0.02809744	0.295255	0.656773	1.0704	1.97757	0.363324	0.9795885
4400	-57068.24	-56447.56	-620.6795	0.137421	0.112564	0.0844858	2.52224	2.06463	0.02383334	0.01681126	-0.009182234	0.502568	1	58.16159	0.348041	0.345354	0.76178	0.0380747	0.01917451	0.300869	0.661715	1.07153	1.96589	0.4933857	1.018611
4450	-57083.91	-56458.49	-625.4216	0.135282	0.127436	0.0844499	2.5833	2.520029	0.02366928	0.01697939	0.0118266	0.3220235	1	56.95984	0.310285	0.34651	0.731355	0.0390763	0.02529753	0.348347	0.700935	1.07885	1.87187	0.3338501	0.9645751
